"id","developer","publisher","title","genres","dateGlobal","boxImage","isFree","reviewCount","baseAmount","overallAvgRating"
4,"Volition","Interplay","Descent: Freespace Battle Pack","['Simulation', 'Combat', 'Sci-fi']","3/11/1998 22:00","//images-1.gog-statics.com/d4e378f9718a445801d36ac65fd557c479696e2f65e399a37d5872449205a489",FALSE,117,9.99,4.7
5,"Volition","Interplay","Freespace 2","['Simulation', 'Combat', 'Sci-fi']","9/29/1999 21:00","//images-4.gog-statics.com/a2b5eb782fb671213238dcb481359dfaf13083cac50348ce77440c09e61aff3f",FALSE,328,9.99,4.8
6,"Shiny Entertainment","Interplay","MDK","['Action', 'TPP', 'Sci-fi']","4/29/1997 21:00","//images-3.gog-statics.com/6608c66b45160cdf653b2cd204be11ed0dd4f018133ff4232f8a66cd43e54be4",FALSE,148,9.99,4.4
7,"Shiny Entertainment","Interplay","Messiah","['Action', 'TPP', 'Sci-fi']","3/30/2000 21:00","//images-4.gog-statics.com/b4054ca4fdfc568f35d0f96ddf8073db9d76b159df3975ae1826f3a716a6f6f7",FALSE,57,14.99,3.7
8,"Reflexive Entertainment","Interplay","Lionheart: Legacy of the Crusader","['Role-playing', 'Adventure', 'Fantasy']","8/12/2003 21:00","//images-4.gog-statics.com/90508b21298069c9ae7d43d1acb92cd37d42d9b6f0d006d870e15a2e67cd8667",FALSE,75,9.99,3.6
9,"Xatrix Entertainment","Interplay","Kingpin: Life of Crime","['Shooter', 'FPP', 'Modern']","6/29/1999 21:00","//images-4.gog-statics.com/59d62c9defae238c4133184ae99731a0b1fc8a5dd27a0c4cfa9276e47f429d8a",FALSE,98,9.99,3.8
1073954123,"Killerfish Games","Killerfish Games","Atlantic Fleet","['Simulation', 'Strategy', 'Naval']","2/24/2016 22:00","//images-3.gog-statics.com/2716c917d9e1bd42e872dbcf3244032a99f16b9bf85e7db3b4cc362a74502fba",FALSE,30,9.99,4
1073977251,"Capstone Software","SNEG","Witchaven II: Blood Vengeance","['Shooter', 'Action', 'FPP']","5/5/1996 21:00","//images-3.gog-statics.com/3d47a6d6f374d88e8a2d93206be7f85b763898ce56f6da3bde2a2408c956131e",FALSE,10,6.59,3.3
1074395858,"Purple Lamp","THQ Nordic GmbH","SpongeBob SquarePants: The Cosmic Shake","['Adventure', 'TPP', 'Platformer']","1/30/2023 22:00","//images-2.gog-statics.com/ef97bd4eac353c498397689a9ad87067cd780499df540eb51b26ef739f1cd8e2",FALSE,11,39.99,4.3
1074396890,"Tate Multimedia","Tate Multimedia","Kao the Kangaroo","['Action', 'Adventure', 'Platformer']","5/26/2022 21:00","//images-4.gog-statics.com/3f082e00b4cd8e01a29590caa4c7f22d44d177814580b7243d1f2d00467d25e1",FALSE,6,29.99,4.1
1074533562,"MuHa Games, Eerie Forest Studio","Slitherine Ltd.","Master of Magic","['Strategy', 'Turn-based', 'Fantasy']","12/12/2022 22:00","//images-4.gog-statics.com/79e658c19ae7f043ff17a19a7a59b5b0d52ec65648296c85b70d366974373400",FALSE,98,38.99,3.6
1074642393,"The Wild Gentlemen","HandyGames","Chicken Police","['Adventure', 'Point-and-click', 'Detective-mystery']","11/4/2020 22:00","//images-3.gog-statics.com/e811856f144e0c0e5dd6edad34de2fc78cea9d15632610192ec4c9e6d263eb82",FALSE,19,19.99,4.4
1074885762,"Fishing Cactus","PID Games","Outshine","['Action', 'Arcade', 'Sci-fi']","11/2/2022 22:00","//images-4.gog-statics.com/903767d0b7008df74ab6e43271376f87408c503a7ab75fdfd14e7967562f7024",FALSE,1,12.99,5
